"","(Intercept)","educ","fumasi","gest","I(gest^3)"
"s30",3216.9628115146,0.00982604072018941,-0.0925114554692449,0.0456026306542203,1.18587110922874e-05
"s31",3216.1348520652,0.0129872609705028,-0.122275449219574,0.0602745301770458,1.56736548646701e-05
"s32",3215.04075647722,0.0171645748767599,-0.161607318528922,0.0796628491884262,2.07146475898014e-05
"s33",3213.59515663928,0.0226838856344439,-0.213576622755482,0.105280720655094,2.73748089168558e-05
"s34",3211.6854336036,0.0299751089748206,-0.282233134825872,0.139124482768044,3.61726302305767e-05
"s35",3209.16311755929,0.0396049824273652,-0.372916454910698,0.183826314243352,4.77914520713719e-05
"s36",3205.83264749885,0.052319935247682,-0.492660881737181,0.242853836939134,6.31309952136511e-05
"s37",3201.44271258145,0.0690630263252928,-0.650454287271138,0.320626797908541,8.33744203039664e-05
"s38",3195.6478165471,0.0911727968520123,-0.85879744236285,0.423321499961513,0.000110074694640348
"s39",3188.00971184652,0.12030823305651,-1.13342425270711,0.558685669796603,0.000145265922847887
"s40",3177.95154250266,0.158662983602022,-1.49509021406533,0.736947297604514,0.000191604169633142
"s41",3164.7228499061,0.209087042577397,-1.97080545171203,0.971415194475891,0.000252543860128521
"s42",3147.35240372289,0.27526217965623,-2.59554048617207,1.27931817836539,0.000332553948966461
"s43",3124.59194539395,0.36190881741962,-3.41426576145033,1.68280766448528,0.000437375110164252
"s44",3094.85195571162,0.475017981238641,-4.48428964429072,2.21010557042425,0.000574312234718896
"s45",3056.13330794695,0.622090213239156,-5.87776345606479,2.89673170852567,0.000752543467840142
"s46",3005.96338038743,0.812343600580636,-7.68405653338066,3.78666282797394,0.000983404702968018
"s47",2941.3525784293,1.05682267619581,-10.0114439920538,4.93314687792388,0.00128057355514288
"s48",2858.79760454768,1.3682979926177,-12.9871811834771,6.39871471357145,0.0016600276754277
"s49",2754.37046011851,1.7607885440729,-16.7546024750951,8.25371219631534,0.0021395928543654
"s50",2623.94259766864,2.24854676337565,-21.4654177438665,10.5724826573599,0.00273784341246539
"s51",2463.5966120698,2.84423271266774,-27.2654424399974,13.4263017580718,0.00347210925056263
"s52",2270.25379731669,3.55628433263504,-34.2725139871727,16.8725484803291,0.00435544370393205
"s53",2042.48766589962,4.38561254119865,-42.5475550178718,20.9406439135525,0.00539268533946363
"s54",1781.38928858623,5.32227951130717,-52.0631719100006,25.6170949430694,0.00657622596291532
"s55",1491.23041771373,6.34328569880819,-62.6783124396864,30.83409424807,0.00788265360514767
"s56",1179.62282769872,7.41266649432542,-74.1313278729834,36.4668245630705,0.0092717841000988
"s57",856.851153536626,8.48554178163855,-86.0540325468314,42.3457004262274,0.0106891101034283
"s58",534.51871145169,9.51430259564943,-98.0188583625872,48.2803410733363,0.0120718401355574
"s59",223.7963890475,10.4568179459425,-109.600401446955,54.089751850603,0.0133572027204705
"s60",-66.6013101232707,11.2835107744367,-120.422217396974,59.6426025695917,0.0144889142124297
"s61",-331.244005966478,11.9801884551179,-130.211772357507,64.8695176180167,0.0154227189717337
"s62",-567.949592386421,12.5476592893534,-138.818706510052,69.7568916908419,0.0161299849540333
"s63",-778.892142386804,12.9980416575766,-146.18013554511,74.3925940442409,0.0165870852740317
